STATE_NAME,DISTRICT_NAME,PMGSY_SCHEME,NO_OF_ROAD_WORK_SANCTIONED,NO_OF_BRIDGES_SANCTIONED,NO_OF_ROAD_WORKS_COMPLETED,NO_OF_BRIDGES_COMPLETED,NO_OF_ROAD_WORKS_BALANCE,NO_OF_BRIDGES_BALANCE,LENGTH_OF_ROAD_WORK_SANCTIONED_KM,COST_OF_WORKS_SANCTIONED_LAKHS,LENGTH_OF_ROAD_WORK_COMPLETED_KM,EXPENDITURE_OCCURED_LAKHS,LENGTH_OF_ROAD_WORK_BALANCE_KM
Bihar,Nawada,PMGSY-II,15,0,15,0,0,0,77.242,48.98508,77.203,52.1168,0
Bihar,Nawada,PMGSY-III,2,0,2,0,0,0,15.775,10.59852,15.333,6.4936,0
Bihar,Purnia,PMGSY-III,32,68,20,43,12,25,318.905,479.58929,249.494,408.5795,64.928
Bihar,Saharsa,PMGSY-I,256,43,253,39,3,4,714.202,558.70765,653.708,514.4394,14.517
Bihar,Saharsa,PMGSY-III,8,12,4,7,4,5,77.25,94.53203,40.79,71.7632,35.53
Bihar,Samastipur,PMGSY-I,671,8,665,7,6,1,1881.119,959.91127,1839.759,604.2389,12.365
Bihar,Sitamarhi,PMGSY-I,651,111,643,110,8,1,1755.151,1383.7902,1696.858,1209.9313,10.025
Bihar,Siwan,PMGSY-I,501,4,501,4,0,0,1475.376,732.8235,1454.725,653.6685,0
Bihar,Supaul,PMGSY-II,4,0,4,0,0,0,26.255,12.94036,26.255,13.0723,0
Bihar,Vaishali,PMGSY-III,26,7,24,0,2,7,192.741,153.37131,176.759,125.6008,14.911
Bihar,"West Champaran",PMGSY-II,8,0,8,0,0,0,32.895,14.98459,31.893,15.0084,0
Chhattisgarh,Balod,PMGSY-III,28,11,28,9,0,2,271.635,187.875,266.902,167.0804,0
Chhattisgarh,Balodabazar,PMGSY-I,252,3,252,3,0,0,1116.63,332.6491,1084.9,305.6728,0
Chhattisgarh,Balrampur,PMGSY-I,310,36,309,36,1,0,1695.565,540.0147,1541.744,606.9973,10.08
Chhattisgarh,Bastar,PMGSY-II,5,0,5,0,0,0,94.35,48.2962,93.05,50.364,0
Chhattisgarh,Bijapur,PMGSY-I,296,0,176,0,120,0,1567.745,476.9285,1064.385,288.3996,501.91
Chhattisgarh,Bilaspur,PMGSY-II,9,0,9,0,0,0,85.57,56.75817,85.47,54.9221,0
Chhattisgarh,Bilaspur,PMGSY-III,29,6,29,4,0,2,251.22,207.37962,251.22,181.7092,0
Chhattisgarh,Dantewada,PMGSY-II,1,0,1,0,0,0,21.2,14.4226,21.2,15.3682,0
Chhattisgarh,Dantewada,RCPLWEA,17,3,14,2,3,1,156.525,192.4754,126.825,107.9843,29.7
Chhattisgarh,Dhamtari,PMGSY-III,18,0,18,0,0,0,150.432,85.8768,150.432,79.6452,0
Chhattisgarh,Dhamtari,PM-JANMAN,36,0,0,0,36,0,84.532,43.3605,12.035,0,72.497
Chhattisgarh,Durg,PMGSY-I,96,0,96,0,0,0,375,103.6962,354.46,94.6991,0
Chhattisgarh,Durg,PMGSY-III,15,6,15,5,0,1,99.75,77.8226,95.785,56.6543,0
Chhattisgarh,"Gaurella Pendra Marwahi",PMGSY-I,150,2,150,2,0,0,627.45,158.5502,599.16,159.7764,0
Chhattisgarh,Jangir-Champa,PMGSY-II,14,0,14,0,0,0,128.018,87.62729,127.665,66.1556,0
Chhattisgarh,Jangir-Champa,PMGSY-III,21,1,21,0,0,1,213.05,147.44477,214.07,124.7749,0
Chhattisgarh,Jashpur,PMGSY-III,27,10,27,5,0,5,317.848,247.41536,315.033,197.1161,0
Chhattisgarh,Kanker,PMGSY-I,498,28,490,28,8,0,2116.309,840.3478,2065.21,900.5492,24.55
Chhattisgarh,Kawardha,PMGSY-I,349,11,349,11,0,0,1506.47,470.3142,1453.718,475.8791,0
Chhattisgarh,Koria,PMGSY-II,9,0,9,0,0,0,94.626,61.5114,94.626,55.8818,0
Chhattisgarh,Mahasamund,PMGSY-I,292,16,292,16,0,0,1151.28,348.5009,1102.227,324.2986,0
Chhattisgarh,Mungeli,PMGSY-I,165,0,165,0,0,0,724.402,222.918,698.381,233.7562,0
Chhattisgarh,Narayanpur,PMGSY-I,94,1,93,1,1,0,344.835,191.55853,337.585,191.1584,6.9
Chhattisgarh,Raigarh,PMGSY-I,483,22,483,22,0,0,1958.525,644.18408,1897.231,596.5049,0
Chhattisgarh,Raigarh,PMGSY-III,24,0,24,0,0,0,307.175,160.605,306.853,138.8714,0
Chhattisgarh,Raipur,PMGSY-I,85,1,85,1,0,0,371.155,114.48731,353.042,104.6007,0
Chhattisgarh,Surajpur,PMGSY-I,260,21,260,21,0,0,1382.34,394.1963,1347.021,399.851,0
Chhattisgarh,Surajpur,PMGSY-III,21,11,21,10,0,1,293.33,207.60849,293.12,182.5448,0
Chhattisgarh,Surguja,PMGSY-II,6,0,6,0,0,0,81.95,49.1598,81.735,42.852,0
Gujarat,Arvalli,PMGSY-II,1,0,1,0,0,0,9,4.9002,9,4.2387,0
Gujarat,Arvalli,PMGSY-III,9,15,9,4,0,11,105.14,127.47171,105.14,69.6851,0
Gujarat,Banaskantha,PMGSY-III,19,4,16,0,3,4,187.94,114.42566,179.55,53.5242,7.21
Gujarat,Bharuch,PMGSY-II,4,0,4,0,0,0,44.6,25.132,44.6,20.8079,0
Gujarat,Chhotaudepur,PMGSY-III,7,5,7,1,0,4,74.244,62.5979,73.63,50.6252,0
Gujarat,Junagadh,PMGSY-II,2,0,2,0,0,0,18.1,7.4665,18.1,5.7157,0
Gujarat,Mehsana,PMGSY-I,67,0,67,0,0,0,131.01,23.2268,131.01,22.0738,0
Gujarat,Navsari,PMGSY-III,8,6,8,0,0,6,61.59,86.0764,62.59,62.319,0
Gujarat,Patan,PMGSY-I,76,0,76,0,0,0,175.4,42.1409,174.097,40.2023,0
Gujarat,Sabarkantha,PMGSY-II,5,9,5,9,0,0,56.43,49.6961,56.43,33.5175,0
Gujarat,Sabarkantha,PM-JANMAN,2,0,2,0,0,0,1.55,1.2429,1.55,0,0
Gujarat,Surat,PMGSY-II,6,3,6,3,0,0,53.89,34.6008,53.89,30.3906,0
Gujarat,Surat,PMGSY-III,12,11,12,0,0,11,100.895,99.09984,98.903,61.6379,0
Gujarat,Tapi,PMGSY-II,2,4,2,4,0,0,33.4,36.3583,33.7,33.3447,0
Gujarat,Vadodara,PMGSY-II,3,0,3,0,0,0,33.02,18.4555,33.02,15.1429,0
Gujarat,Valsad,PMGSY-III,10,4,10,0,0,4,87.453,59.18251,84.246,50.0623,0
Haryana,"Charkhi Dadri",PMGSY-III,12,0,12,0,0,0,116.675,66.86323,115.215,56.4042,0
Haryana,Fatehabad,PMGSY-III,14,0,14,0,0,0,188.226,74.79676,187.315,70.7421,0
Haryana,Hisar,PMGSY-I,29,0,29,0,0,0,374.19,72.6718,373.615,70.1549,0
Haryana,Jind,PMGSY-III,19,0,19,0,0,0,246.687,125.83535,243.951,108.7085,0
Haryana,Kaithal,PMGSY-II,3,0,3,0,0,0,40.73,32.2339,40.36,28.8621,0
Haryana,Karnal,PMGSY-II,9,1,9,1,0,0,100.23,98.6994,100.225,87.4628,0
Haryana,Karnal,PMGSY-III,10,0,10,0,0,0,63.88,34.53308,61.406,28.7263,0
Haryana,Kurukshetra,PMGSY-II,5,0,5,0,0,0,42.44,28.9366,42.19,25.391,0
Haryana,Palwal,PMGSY-II,5,0,5,0,0,0,51.47,57.6741,51.03,41.7525,0
Haryana,Panchkula,PMGSY-I,5,0,5,0,0,0,54.77,17.7898,54.77,19.1474,0
Haryana,Panchkula,PMGSY-III,4,0,4,0,0,0,55.737,35.90535,55.677,34.5144,0
Haryana,Sirsa,PMGSY-I,18,0,18,0,0,0,276.32,80.0627,276.32,72.9615,0
Haryana,Sirsa,PMGSY-II,4,2,4,2,0,0,70.28,60.5244,70.02,56.3356,0
Haryana,Sonepat,PMGSY-I,20,0,20,0,0,0,209.625,82.9402,210.285,78.7516,0
"Himachal Pradesh",Bilaspur,PMGSY-III,19,0,0,0,19,0,184.615,170.96884,1,26.3847,183.615
"Himachal Pradesh",Hamirpur,PMGSY-I,151,6,151,6,0,0,759.038,227.8936,753.124,219.0402,0
"Himachal Pradesh",Kangra,PMGSY-I,779,18,778,17,1,1,3190.634,949.49646,3135.685,836.6752,14.4
"Himachal Pradesh",Kinnaur,PMGSY-I,59,1,56,1,3,0,503.72,172.70948,470.9,162.3195,10.235
"Himachal Pradesh",Kinnaur,PMGSY-III,2,0,0,0,2,0,22.69,21.62738,21.675,16.1437,1.015
"Himachal Pradesh",Kullu,PMGSY-II,6,0,6,0,0,0,101.84,82.8783,101.24,75.1167,0
"Himachal Pradesh",Mandi,PMGSY-III,29,1,1,0,28,1,362.1,383.21903,62.765,51.5682,299.335
"Himachal Pradesh",Sirmaur,PMGSY-III,23,0,3,0,20,0,292.28,246.77044,58.935,73.5634,233.345
"Himachal Pradesh",Solan,PMGSY-I,184,1,184,1,0,0,1169.528,360.6669,1141.164,338.6536,0
"Himachal Pradesh",Una,PMGSY-II,9,1,9,1,0,0,85.345,75.988,83.729,77.9454,0
"Jammu And Kashmir",Anantnag,PMGSY-II,8,0,7,0,1,0,38,46.4836,35.393,35.4028,2
"Jammu And Kashmir",Anantnag,PMGSY-III,8,0,6,0,2,0,34.346,31.00592,32.52,23.0296,1.714
"Jammu And Kashmir",Ganderbal,PMGSY-II,3,0,3,0,0,0,14,12.9513,13.33,8.3173,0
"Jammu And Kashmir",Ganderbal,PMGSY-III,10,0,9,0,1,0,44.93,33.82683,39.149,28.5091,5.2
"Jammu And Kashmir",Jammu,PMGSY-I,133,2,133,2,0,0,669.79,369.83915,647.281,330.4913,0
"Jammu And Kashmir",Kupwara,PMGSY-II,16,0,16,0,0,0,62.25,79.56197,61.35,69.8861,0
"Jammu And Kashmir",Pulwama,PMGSY-II,3,0,3,0,0,0,21,25.1151,21.183,20.2375,0
"Jammu And Kashmir",Samba,PMGSY-I,65,4,65,4,0,0,256.779,143.4863,250.064,125.0254,0
"Jammu And Kashmir",Samba,PMGSY-II,4,1,4,1,0,0,10.1,9.6632,10.1,7.1517,0
"Jammu And Kashmir",Srinagar,PMGSY-II,1,0,1,0,0,0,7,4.625,4.2,2.2908,0
"Jammu And Kashmir",Udhampur,PMGSY-II,7,0,7,0,0,0,59.3,70.7923,55.9,57.4159,0
"Jammu And Kashmir",Udhampur,PMGSY-III,14,2,7,0,7,2,157.6,199.78726,90.495,95.0624,65.33
Jharkhand,Deoghar,PMGSY-I,177,30,177,30,0,0,587.009,258.17225,556.692,221.8802,0
Jharkhand,Deoghar,PMGSY-III,18,2,8,0,10,2,160.47,105.2488,105.013,78.7399,53.96
Jharkhand,Dhanbad,PMGSY-I,101,0,101,0,0,0,289.445,80.8792,285.709,76.2936,0
Jharkhand,Dumka,PMGSY-II,9,0,9,0,0,0,85.75,59.3747,85.7,50.4258,0
Jharkhand,Dumka,PMGSY-III,23,3,15,0,8,3,224.1,166.3037,156.93,101.0241,67.08
Jharkhand,Garhwa,PMGSY-I,298,40,298,40,0,0,1165.382,429.49684,1148.542,381.7784,0
Jharkhand,Garhwa,PMGSY-II,7,1,7,1,0,0,74.93,48.9372,74.684,42.5739,0
Jharkhand,Giridih,RCPLWEA,27,15,22,13,5,2,137.608,130.42188,108.7,108.4881,28.605
Jharkhand,Giridih,PMGSY-III,29,5,6,1,23,4,258.785,167.36601,150.699,106.8243,108.009
Jharkhand,Hazaribagh,PMGSY-II,6,2,6,2,0,0,63.115,56.62399,63.115,38.7327,0
Jharkhand,Jamtara,PM-JANMAN,3,0,0,0,3,0,7.545,5.9669,0,0,7.545
Jharkhand,Latehar,RCPLWEA,27,31,9,21,18,10,230.93,268.15713,199.15,203.2529,31.78
Jharkhand,Latehar,PMGSY-III,15,13,0,0,15,13,146.116,109.45159,24.236,51.1996,121.88
Jharkhand,Pakur,PMGSY-II,5,0,5,0,0,0,61.25,44.0773,60.308,34.0049,0
Jharkhand,Palamu,PMGSY-III,25,13,0,2,25,11,223.406,175.30965,26.471,57.3089,196.935
Jharkhand,"Purbi Singhbhum",PMGSY-II,9,0,9,0,0,0,86.175,55.34982,85.446,43.243,0
Jharkhand,Ramgarh,PMGSY-I,112,9,112,9,0,0,398.595,142.54375,383.529,109.2116,0
Jharkhand,"Saraikela Kharsawan",RCPLWEA,15,9,13,9,2,0,131.527,110.35551,128.097,113.1731,3.43
Jharkhand,Simdega,PMGSY-I,269,6,269,6,0,0,1035.664,365.31852,1001.908,379.8237,0
Jharkhand,Simdega,PMGSY-III,8,2,4,0,4,2,95.037,75.24856,67.409,61.1639,27.375
Karnataka,Bagalkot,PMGSY-III,34,12,29,12,5,0,208.76,130.58325,198.524,130.2962,7.46
Karnataka,"Bangalore U",PMGSY-III,12,0,11,0,1,0,108.44,88.1428,106.74,74.4065,1.71
Karnataka,Belgaum,PMGSY-III,52,1,49,1,3,0,360.327,219.20854,339.297,200.2019,10.307
Karnataka,Chickballapur,PMGSY-I,113,0,113,0,0,0,547.87,104.0092,547.87,120.9034,0
Karnataka,Dharwad,PMGSY-I,65,1,65,1,0,0,438.49,91.2239,438.295,103.9181,0
Karnataka,Dharwad,PMGSY-III,22,16,19,15,3,1,164.51,132.0631,147.541,126.2541,13.7
Karnataka,Gadag,PMGSY-II,12,0,12,0,0,0,89.75,41.844,76.655,39.6803,0
Karnataka,Haveri,PMGSY-I,112,1,112,1,0,0,705.52,162.3088,705.543,195.5453,0
Karnataka,Kodagu,PMGSY-I,46,1,46,1,0,0,169.9,42.7033,169.9,50.2141,0
Karnataka,Kodagu,PMGSY-III,13,0,13,0,0,0,83.838,59.01469,82.948,61.9655,0
Karnataka,Kodagu,PM-JANMAN,12,0,0,0,12,0,13.19,11.83807,0,0,13.19
Karnataka,Raichur,PMGSY-I,138,4,138,4,0,0,763.582,148.9996,763.582,159.5051,0
Karnataka,Raichur,PMGSY-III,24,3,20,2,4,1,177.95,119.72044,164.412,113.7037,4.65
Karnataka,Ramnagar,PMGSY-I,74,0,74,0,0,0,282.09,46.1142,282.09,53.2614,0
Karnataka,Ramnagar,PMGSY-II,10,0,10,0,0,0,60.11,19.9574,55.708,18.7171,0
Karnataka,Yadgir,PMGSY-II,5,0,5,0,0,0,38.448,18.1973,37.73,17.3365,0
Karnataka,Yadgir,PMGSY-III,18,0,17,0,1,0,130.975,84.04193,129.308,84.0968,1.39
Kerala,Ernakulam,PMGSY-III,26,1,6,0,20,1,146.379,118.90189,67.627,37.9082,77.653
Kerala,Idukki,PMGSY-II,12,0,11,0,1,0,58.557,52.115,58.06,43.2253,0.45
Kerala,Idukki,PMGSY-III,24,3,4,0,20,3,138.162,122.42605,50.073,41.7837,88.077
Kerala,Kannur,PMGSY-II,9,2,7,2,2,0,49.057,50.73585,48.022,40.2457,0.505
Kerala,Kannur,PMGSY-III,19,0,6,0,13,0,109.849,107.30278,48.261,34.9397,61.607
Kerala,Kasaragod,PMGSY-I,96,0,96,0,0,0,247.091,110.9047,246.73,124.4521,0
Kerala,Kollam,PMGSY-III,22,0,3,0,19,0,96.437,62.64305,25.475,17.0276,69.388
Kerala,Kottayam,PMGSY-III,23,1,6,0,17,1,101.052,87.39754,46.103,42.7079,54.918
Kerala,Kozhikode,PMGSY-II,9,0,9,0,0,0,28.656,27.23771,28.448,23.9511,0
Kerala,Malappuram,PMGSY-III,31,1,16,0,15,1,136.268,128.70604,64.273,52.2956,71.964
Kerala,Palakkad,PMGSY-I,85,0,84,0,1,0,277.88,163.3612,267.416,171.2763,3.77
Kerala,Thiruvananthapuram,PMGSY-I,175,0,174,0,1,0,282.963,127.6997,280.467,141.342,2.31
Kerala,Thiruvananthapuram,PMGSY-II,13,0,13,0,0,0,58.735,45.2943,58.735,38.0261,0
Kerala,Thiruvananthapuram,PMGSY-III,23,1,10,0,13,1,114.005,94.07263,53.047,40.2269,59.646
Kerala,Thrissur,PMGSY-III,28,0,11,0,17,0,122.979,99.52075,52.527,43.9274,69.56
Ladakh,Kargil,PMGSY-II,8,1,6,1,2,0,43.3,54.9769,41.85,47.1125,1.6
Ladakh,Kargil,PMGSY-III,27,0,2,0,25,0,209.43,228.9736,12.7,46.8228,196.23
"Madhya Pradesh",Alirajpur,PMGSY-II,3,0,3,0,0,0,38.55,24.43456,38.82,21.0181,0
"Madhya Pradesh",Balaghat,PMGSY-I,581,9,581,9,0,0,2289.165,608.85235,2237.528,621.2699,0
"Madhya Pradesh",Burhanpur,PMGSY-III,10,13,7,9,3,4,80.375,74.8902,69.759,35.1829,10.2
"Madhya Pradesh",Chhindwara,PM-JANMAN,44,0,0,0,44,0,156.045,118.32171,0,0,156.045
"Madhya Pradesh",Damoh,PMGSY-I,290,5,290,5,0,0,1032.78,327.17,1006.959,304.0001,0
"Madhya Pradesh",Datia,PMGSY-III,12,2,12,1,0,1,110.343,98.05289,108.806,74.5038,0
"Madhya Pradesh",Dewas,PMGSY-III,19,29,18,15,1,14,235.752,184.83371,231.582,116.3752,0.8
"Madhya Pradesh",Dhar,PMGSY-III,46,75,46,58,0,17,540.855,569.03278,534.237,386.5615,0
"Madhya Pradesh",Dindori,PMGSY-I,444,4,444,4,0,0,1694.995,458.4714,1662.499,450.2527,0
"Madhya Pradesh",Dindori,PM-JANMAN,53,0,0,0,53,0,130.3,96.62192,8.04,0,122.26
"Madhya Pradesh",Indore,PMGSY-I,186,33,186,33,0,0,652.707,312.78738,623.737,320.0987,0
"Madhya Pradesh",Jhabua,PMGSY-II,7,7,7,7,0,0,89.85,52.26852,89.38,46.7523,0
"Madhya Pradesh",Katni,PMGSY-I,280,7,280,6,0,1,999.498,292.26152,971.897,294.9095,0
"Madhya Pradesh",Khargone,PMGSY-II,9,12,9,11,0,1,176.148,135.58831,176.508,118.9362,0
"Madhya Pradesh",Khargone,PMGSY-III,20,37,19,23,1,14,343.565,292.1011,336.569,191.8687,3.4
"Madhya Pradesh",Mandsour,PMGSY-I,355,4,355,4,0,0,1675.945,527.265,1635.379,443.3134,0
"Madhya Pradesh",Neemuch,PMGSY-II,3,2,3,2,0,0,56.46,42.4354,56.064,38.7124,0
"Madhya Pradesh",Neemuch,PMGSY-III,9,12,9,11,0,1,134.074,116.00475,131.304,73.7335,0
"Madhya Pradesh",Panna,PMGSY-III,17,20,13,8,4,12,238.505,219.4823,216.967,136.8987,18.76
"Madhya Pradesh",Raisen,PMGSY-I,334,6,334,5,0,1,1377.255,454.32818,1305.349,481.7185,0
"Madhya Pradesh",Rajgarh,PMGSY-III,14,12,11,9,3,3,232.3,201.83261,222.199,131.4284,5.1
"Madhya Pradesh",Rewa,PMGSY-II,9,2,9,2,0,0,144.68,93.1047,141.7,83.7119,0
"Madhya Pradesh",Satna,PMGSY-I,444,8,444,8,0,0,1619.75,432.2147,1564.418,385.1144,0
"Madhya Pradesh",Satna,PMGSY-III,28,15,27,13,1,2,306.177,202.12398,296.371,151.1588,5
"Madhya Pradesh",Seoni,PMGSY-III,19,25,19,22,0,3,312.185,260.39721,307.122,191.7408,0
"Madhya Pradesh",Shahdol,PMGSY-I,376,12,376,12,0,0,1623.31,417.48167,1609.694,390.4996,0
"Madhya Pradesh",Shajapur,PMGSY-I,283,15,283,15,0,0,945.866,365.53485,955.436,361.6227,0
"Madhya Pradesh",Sheopur,PMGSY-III,15,18,13,16,2,2,162.54,159.64219,154.469,118.0017,6.19
"Madhya Pradesh",Sheopur,PM-JANMAN,30,0,0,0,30,0,60.83,42.97811,0,0,60.83
"Madhya Pradesh",Shivpuri,PM-JANMAN,86,0,0,0,86,0,189.448,135.0207,7.51,0,181.938
"Madhya Pradesh",Sidhi,PMGSY-II,1,2,1,2,0,0,17.225,11.1029,17.225,9.6652,0
"Madhya Pradesh",Singrauli,PMGSY-I,296,8,296,7,0,1,1808.155,578.93949,1727.811,567.2492,0
"Madhya Pradesh",Umaria,PMGSY-I,278,12,278,12,0,0,1304.785,394.06145,1248.706,408.0965,0
Maharashtra,Amrawati,PMGSY-I,124,26,124,26,0,0,591.53,137.9873,578.33,136.3922,0
Maharashtra,Aurangabad,PMGSY-II,19,4,19,4,0,0,96.55,57.384,94.983,50.3306,0
Maharashtra,Aurangabad,PMGSY-III,27,15,17,0,10,15,192.031,187.14919,148.052,109.4306,42.026
Maharashtra,Beed,PMGSY-II,12,9,12,9,0,0,101.72,68.0453,99.534,63.0521,0
Maharashtra,Bhandara,PMGSY-II,10,0,10,0,0,0,66.61,36.1044,65.785,32.312,0
Maharashtra,Gadchiroli,PM-JANMAN,10,0,0,0,10,0,31.39,29.56657,0,0,31.39
Maharashtra,Gondia,PMGSY-I,241,13,240,13,1,0,853.052,183.9845,819.547,172.6935,0.8
Maharashtra,Hingoli,PMGSY-II,6,1,6,1,0,0,33.9,21.0556,33.9,19.3926,0
Maharashtra,Jalgaon,PMGSY-III,29,2,6,0,23,2,196.65,160.343,99.58,65.4895,96.24
Maharashtra,Kolhapur,PMGSY-I,140,10,140,9,0,1,584.11,172.3683,579.25,186.1468,0
Maharashtra,Osmanabad,PMGSY-II,7,9,7,9,0,0,60.35,50.1433,60.3,47.0803,0
Maharashtra,Palghar,PMGSY-I,186,1,186,1,0,0,371.319,132.5923,357.308,119.3815,0
Maharashtra,Palghar,PMGSY-II,6,1,6,1,0,0,56.9,30.8962,51.91,28.4738,0
Maharashtra,Pune,PMGSY-I,259,16,258,16,1,0,1444.48,397.1502,1423.542,421.8152,3.12
Maharashtra,Sangali,PMGSY-III,29,0,11,0,18,0,180.753,144.66676,85.616,77.9224,94.711
Maharashtra,Wardha,PMGSY-II,5,2,5,2,0,0,41.95,25.1131,41.95,23.3738,0
Maharashtra,Wardha,PMGSY-III,17,17,16,0,1,17,104.12,112.96683,101.221,69.7934,0.78
Maharashtra,Yavatmal,PMGSY-I,147,37,147,37,0,0,913.3,230.781,918.3,567.0564,0
Maharashtra,Yavatmal,PMGSY-III,30,27,28,0,2,27,240.7,232.75546,224.854,175.6997,13.35
Manipur,Bishnupur,PMGSY-III,10,0,0,0,10,0,67.334,52.87731,0,0,67.334
Manipur,Chandel,PMGSY-I,218,15,193,10,25,5,1606.94,684.57053,1550.292,628.5127,33.63
Manipur,"Imphal East",PMGSY-II,15,0,14,0,1,0,85.72,71.2072,85.52,58.6697,0.2
Manipur,"Imphal East",PMGSY-III,25,0,0,0,25,0,170.11,143.55361,0,0,170.11
Manipur,Senapati,PMGSY-II,4,2,3,2,1,0,22.38,22.0518,16.38,16.5409,6
Manipur,Tamenglong,PMGSY-I,175,24,139,16,36,8,1697.24,796.65261,1610.025,666.0035,88.18
Manipur,Tamenglong,PMGSY-III,2,0,0,0,2,0,20.2,17.74663,0,0,20.2
Manipur,Thoubal,PMGSY-I,185,17,184,12,1,5,563.599,288.25917,570.77,242.4814,0
Manipur,Ukhrul,PMGSY-I,190,28,168,25,22,3,1866.304,817.54852,1671.593,751.2423,194.23
Meghalaya,"East Garo Hills",PMGSY-III,15,8,0,0,15,8,93.738,114.14796,1.86,5.8518,91.878
Meghalaya,Jaintia,PMGSY-I,119,1,117,1,2,0,406.841,190.58205,390.968,171.922,8.313
Meghalaya,Ribhoi,PMGSY-I,129,3,126,3,3,0,557.943,292.3446,546.723,271.0273,8.175
Meghalaya,Ribhoi,PMGSY-III,12,0,2,0,10,0,156.22,138.73122,24.1,16.5184,132.12
Mizoram,Aizawl,PMGSY-I,64,0,64,0,0,0,759.82,355.6042,757.82,352.1993,0
Mizoram,Champhai,PMGSY-II,1,0,1,0,0,0,60,95.2352,60,87.8885,0
Mizoram,Kolasib,PMGSY-I,6,0,6,0,0,0,63.87,60.5714,63.87,51.9248,0
Nagaland,Longleng,PMGSY-II,1,0,1,0,0,0,11.4,11.0391,11.4,11.0379,0
Nagaland,Mokokchung,PMGSY-II,1,0,1,0,0,0,15,15.8051,15,15.8173,0
Nagaland,Tuensang,PMGSY-III,6,0,0,0,6,0,67.17,66.0042,0,0,67.17
Nagaland,Wokha,PMGSY-I,31,8,29,8,2,0,340.96,126.839,333.96,123.2779,7
Nagaland,Zunheboto,PMGSY-II,1,0,1,0,0,0,18,16.6787,18,16.6788,0
Odisha,Angul,PMGSY-II,13,0,13,0,0,0,92.675,41.2075,91.715,36.8161,0
Odisha,Balangir,PMGSY-I,923,28,923,28,0,0,2874.222,1080.0627,2748.716,980.823,0
Odisha,Balasore,PMGSY-II,28,0,28,0,0,0,140.4,68.72102,140.861,63.7939,0
Odisha,Bargarh,PMGSY-I,593,4,593,4,0,0,2056.541,714.37148,1945.182,693.789,0
Odisha,Boudh,PMGSY-II,6,0,6,0,0,0,35.901,14.6532,35.71,13.4258,0
Odisha,Cuttack,PMGSY-I,476,11,476,11,0,0,1943.923,893.19247,1899.696,901.7172,0
Odisha,Cuttack,PMGSY-II,38,0,38,0,0,0,176.735,82.10892,177.179,97.7685,0
Odisha,Cuttack,PMGSY-III,69,5,23,1,46,4,418.366,250.8376,301.82,153.0251,111.34
Odisha,Deogarh,PMGSY-II,4,0,4,0,0,0,35.9,15.437,36.726,14.8763,0
Odisha,Deogarh,PMGSY-III,14,3,14,1,0,2,90.01,62.88467,89.887,55.1602,0
Odisha,Gajapati,PMGSY-II,12,0,12,0,0,0,83.01,42.8421,83.609,38.3411,0
Odisha,Ganjam,PM-JANMAN,14,1,0,0,14,1,46.871,56.1617,0,0,46.871
Odisha,Jajpur,PMGSY-II,34,0,34,0,0,0,112.007,49.8446,109.56,43.5532,0
Odisha,Jajpur,PMGSY-III,45,0,25,0,20,0,295.967,197.96155,264.411,169.4998,28.185
Odisha,Kalahandi,PMGSY-I,747,58,747,58,0,0,3325.484,1409.96473,3150.211,1413.0032,0
Odisha,Kendrapara,PMGSY-I,397,5,397,5,0,0,1550.057,762.6803,1514.899,789.2279,0
Odisha,Keonjhar,PMGSY-I,780,22,780,22,0,0,3149.791,1258.3727,3065.982,1284.7914,0
Odisha,Malkangiri,RCPLWEA,30,0,28,0,2,0,353.815,314.24901,332.653,284.7457,17.3
Odisha,Nawarangpur,PMGSY-III,46,5,28,0,18,5,301.296,217.7506,279.817,149.7776,20.333
Odisha,Nuapara,PMGSY-II,8,0,8,0,0,0,59.371,19.6178,59.292,16.837,0
Odisha,Nuapara,PMGSY-III,21,1,19,0,2,1,168.43,100.93398,162.658,87.7569,3.935
Odisha,Puri,PMGSY-II,24,0,24,0,0,0,126.72,54.52572,124.129,46.4256,0
Odisha,Puri,PMGSY-III,40,1,27,0,13,1,293.841,174.94112,257.991,143.6698,32.065
Odisha,Rayagada,PMGSY-I,602,21,602,21,0,0,3094.46,1241.08408,2942.946,1280.1645,0
Odisha,Sonepur,PMGSY-III,30,3,30,2,0,1,191.854,144.2091,184.959,132.3075,0
Puducherry,Puducherry,PMGSY-III,33,0,0,0,33,0,90.737,57.09026,0,0,90.737
Punjab,Amritsar,PMGSY-I,73,0,73,0,0,0,396.395,172.0362,395.96,158.7712,0
Punjab,Faridkot,PMGSY-II,8,0,8,0,0,0,71.88,43.2546,70.48,42.0938,0
Punjab,"Fatehgarh Sahib",PMGSY-III,3,1,2,0,1,1,31.239,25.09418,31.239,19.0243,0
Punjab,Gurdaspur,PMGSY-I,122,0,122,0,0,0,416.23,126.356,406.8,107.6597,0
Punjab,Gurdaspur,PMGSY-II,2,0,2,0,0,0,16.18,11.3656,16.18,8.1924,0
Punjab,Ludhiana,PMGSY-II,12,0,12,0,0,0,132.74,83.1042,132.56,83.1156,0
Punjab,Ludhiana,PMGSY-III,29,7,25,1,4,6,346.892,335.48779,329.605,263.3186,17.19
Punjab,Mohali,PMGSY-III,4,0,3,0,1,0,31.94,25.61566,24.104,16.288,7.8
